"","x"
"347","2002"
"348","2002"
"349","2003"
"350","2003"
"351","2003"
"352","2003"
"353","2003"
"354","2003"
"355","2003"
"356","2003"
"357","2003"
"358","2003"
"359","2003"
"360","2003"
"361","2003"
"362","2003"
"363","2003"
"364","2003"
"365","2003"
"366","2003"
"367","2003"
"368","2003"
"369","2003"
"370","2003"
"371","2003"
"372","2003"
"373","2003"
"374","2003"
"375","2002"
"376","2002"
"377","2002"
"378","2002"
"379","2002"
"380","2002"
"381","2002"
"382","2003"
"383","2002"
"384","2002"
"385","2002"
"386","2002"
"387","2002"
"388","2003"
"389","2003"
"390","2003"
"391","2003"
"392","2002"
"393","2002"
"394","2002"
"395","2002"
"396","2003"
"397","2003"
"398","2002"
"399","2002"
"400","2002"
"401","2003"
"402","2002"
"403","2003"
"404","2003"
"405","2003"
"406","2003"
"407","2002"
"408","2002"
"409","2003"
"410","2002"
"411","2002"
"412","2002"
"413","2002"
"414","2002"
"415","2003"
"416","2003"
"417","2003"
"418","2003"
"419","2003"
"420","2002"
"421","2002"
"422","2002"
"423","2002"
"424","2003"
"425","2002"
"426","2003"
"427","2003"
"428","2003"
"429","2003"
"430","2003"
"431","2003"
"432","2002"
"433","2003"
"434","2002"
"435","2003"
"436","2003"
"437","2003"
"438","2003"
"439","2003"
"440","2003"
"441","2002"
"442","2002"
"443","2002"
"444","2002"
"445","2002"
"446","2003"
"447","2003"
"448","2002"
"449","2002"
"450","2003"
"451","2002"
"452","2003"
"453","2003"
"454","2003"
"455","2002"
"456","2002"
"457","2003"
"458","2003"
"459","2003"
"460","2003"
"461","2002"
"462","2002"
"463","2003"
"464","2003"
"465","2003"
"466","2003"
"467","2003"
"468","2002"
"469","2002"
"470","2002"
"471","2003"
"472","2003"
"473","2003"
"474","2002"
"475","2003"
"476","2003"
"477","2003"
"478","2003"
"479","2003"
"480","2003"
"481","2003"
"482","2003"
"483","2003"
"484","2002"
"485","2002"
"486","2002"
"487","2002"
"488","2002"
"489","2003"
"490","2003"
"491","2003"
"492","2003"
"493","2003"
"494","2003"
"495","2003"
"496","2003"
"497","2003"
"498","2003"
"499","2003"
"500","2003"
"501","2003"
"502","2003"
"503","2003"
"504","2002"
"505","2002"
"506","2003"
"507","2003"
"508","2002"
"509","2003"
"510","2003"
"511","2003"
"512","2003"
"513","2002"
"514","2002"
"515","2003"
"516","2003"
"517","2003"
"518","2003"
"519","2003"
"520","2003"
"521","2003"
"522","2003"
"523","2003"
"524","2003"
"525","2003"
"526","2003"
"527","2002"
"528","2003"
"529","2003"
"530","2003"
"531","2003"
"532","2003"
"533","2003"
"534","2002"
"535","2003"
"536","2003"
"537","2003"
"538","2003"
"539","2003"
"540","2003"
"541","2003"
"542","2003"
"543","2003"
"544","2003"
"545","2002"
"546","2002"
"547","2002"
"548","2003"
"549","2002"
"550","2002"
"551","2003"
"552","2002"
"553","2003"
"554","2003"
"555","2002"
"556","2002"
"557","2002"
"558","2002"
"559","2002"
"560","2002"
"561","2002"
"562","2002"
"563","2002"
"564","2002"
"565","2002"
"566","2002"
"567","2002"
"568","2002"
"569","2002"
"570","2002"
"571","2003"
"572","2003"
"573","2003"
"574","2003"
"575","2003"
"576","2003"
"577","2003"
"578","2003"
"579","2003"
"580","2003"
"581","2003"
"582","2003"
"583","2003"
"584","2003"
"585","2003"
"586","2004"
"587","2004"
"588","2004"
"589","2004"
"590","2004"
"591","2004"
"592","2004"
"593","2004"
"594","2004"
"595","2004"
"596","2004"
"597","2004"
"598","2004"
"599","2004"
"600","2004"
"601","2004"
"602","2004"
"603","2004"
"604","2004"
"605","2004"
"606","2004"
"607","2004"
"608","2004"
"609","2004"
"610","2004"
"611","2004"
"612","2003"
"613","2003"
"614","2003"
"615","2003"
"616","2003"
"617","2003"
"618","2003"
"619","2003"
"620","2004"
"621","2004"
"622","2004"
"623","2004"
"624","2004"
"625","2004"
"626","2004"
"627","2004"
"628","2004"
"629","2004"
"630","2004"
"631","2004"
"632","2004"
"633","2004"
"634","2004"
"635","2004"
"636","2004"
"637","2004"
"638","2004"
"639","2004"
"640","2004"
"641","2004"
"642","2004"
"643","2004"
"644","2004"
"645","2004"
"646","2004"
"647","2004"
"648","2004"
"649","2004"
"650","2004"
"651","2004"
"652","2004"
"653","2004"
"654","2004"
"655","2004"
"656","2004"
"657","2004"
"658","2004"
"659","2004"
"660","2004"
"661","2004"
"662","2004"
"663","2004"
"664","2004"
"665","2004"
"666","2004"
"667","2004"
"668","2003"
"669","2003"
"670","2003"
"671","2004"
"672","2004"
"673","2004"
"674","2004"
"675","2004"
"676","2004"
"677","2004"
"678","2004"
"679","2004"
"680","2004"
"681","2004"
"682","2004"
"683","2004"
"684","2003"
"685","2003"
"686","2003"
"687","2003"
"688","2003"
"689","2003"
"690","2003"
"691","2003"
"692","2003"
"693","2003"
"694","2003"
"695","2003"
"696","2003"
"697","2003"
"698","2003"
"699","2003"
"700","2003"
"701","2003"
"702","2003"
"703","2003"
"704","2003"
"705","2003"
"706","2003"
"707","2003"
"708","2003"
"709","2003"
"710","2003"
"711","2003"
"712","2003"
"713","2003"
"714","2003"
"715","2003"
"716","2003"
"717","2003"
"718","2003"
"719","2003"
"720","2003"
"721","2003"
"722","2003"
"723","2003"
"724","2003"
"725","2003"
"726","2003"
"727","2003"
"728","2003"
"729","2003"
"730","2004"
"731","2004"
"732","2004"
"733","2004"
"734","2004"
"735","2003"
"736","2003"
"737","2003"
"738","2003"
"739","2003"
"740","2003"
"741","2003"
"742","2003"
"743","2004"
"744","2003"
"745","2003"
"746","2003"
"747","2003"
"748","2003"
"749","2003"
"750","2003"
"751","2003"
"752","2003"
"753","2003"
"754","2003"
"755","2003"
"756","2004"
"757","2004"
"758","2004"
"759","2003"
"760","2004"
"761","2004"
"762","2003"
"763","2004"
"764","2003"
"765","2003"
"766","2003"
"767","2004"
"768","2003"
"769","2003"
"770","2003"
"771","2003"
"772","2003"
"773","2003"
"774","2003"
"775","2003"
"776","2003"
"777","2003"
"778","2004"
"779","2003"
"780","2003"
"781","2003"
"782","2004"
"783","2003"
"784","2004"
"785","2003"
"786","2003"
"787","2004"
"788","2004"
"789","2004"
"790","2003"
"791","2003"
"792","2003"
"793","2003"
"794","2003"
"795","2003"
"796","2003"
"797","2003"
"798","2004"
"799","2004"
"800","2003"
"801","2003"
"802","2003"
"803","2003"
"804","2003"
"805","2003"
"806","2003"
"807","2004"
"808","2003"
"809","2003"
"810","2003"
"811","2004"
"812","2004"
"813","2003"
"814","2003"
"815","2003"
"816","2003"
"817","2003"
"818","2004"
"819","2004"
"820","2004"
"821","2003"
"822","2003"
"823","2003"
"824","2003"
"825","2003"
"826","2004"
"827","2004"
"828","2003"
"829","2003"
"830","2003"
"831","2003"
"832","2003"
"833","2003"
"834","2004"
"835","2003"
"836","2003"
"837","2003"
"838","2003"
"839","2004"
"840","2004"
"841","2004"
"842","2004"
"843","2004"
"844","2004"
"845","2004"
"846","2004"
"847","2004"
"848","2003"
"849","2004"
"850","2004"
"851","2003"
"852","2004"
"853","2003"
"854","2003"
"855","2003"
"856","2003"
"857","2004"
"858","2004"
"859","2004"
"860","2004"
"861","2004"
"862","2004"
"863","2004"
"864","2004"
"865","2004"
"866","2004"
"867","2004"
"868","2004"
"869","2003"
"870","2004"
"871","2003"
"872","2003"
"873","2003"
"874","2004"
"875","2004"
"876","2004"
"877","2003"
"878","2004"
"879","2003"
"880","2004"
"881","2004"
"882","2004"
"883","2003"
"884","2003"
"885","2003"
"886","2003"
"887","2004"
"888","2004"
"889","2004"
"890","2004"
"891","2003"
"892","2004"
"893","2004"
"894","2003"
"895","2004"
"896","2004"
"897","2003"
"898","2004"
"899","2004"
"900","2003"
"901","2003"
"902","2004"
"903","2004"
"904","2003"
"905","2003"
"906","2003"
"907","2003"
"908","2003"
"909","2004"
"910","2003"
"911","2003"
"912","2004"
"913","2003"
"914","2004"
"915","2004"
"916","2004"
"917","2004"
"918","2004"
"919","2004"
"920","2004"
"921","2003"
"922","2004"
"923","2004"
"924","2004"
"925","2003"
"926","2004"
"927","2004"
"928","2003"
"929","2004"
"930","2004"
"931","2004"
"932","2004"
"933","2004"
"934","2004"
"935","2004"
"936","2004"
"937","2004"
"938","2003"
"939","2003"
"940","2004"
"941","2004"
"942","2004"
"943","2004"
"944","2003"
"945","2003"
"946","2004"
"947","2003"
"948","2003"
"949","2003"
"950","2004"
"951","2004"
"952","2004"
"953","2004"
"954","2004"
"955","2004"
"956","2004"
"957","2004"
"958","2003"
"959","2004"
"960","2004"
"961","2003"
"962","2004"
"963","2004"
"964","2004"
"965","2004"
"966","2004"
"967","2003"
"968","2003"
"969","2003"
"970","2004"
"971","2004"
"972","2004"
"973","2004"
"974","2005"
"975","2004"
"976","2004"
"977","2004"
"978","2004"
"979","2004"
"980","2005"
"981","2005"
"982","2005"
"983","2005"
"984","2005"
"985","2005"
"986","2005"
"987","2005"
"988","2005"
"989","2005"
"990","2005"
"991","2005"
"992","2005"
"993","2005"
"994","2005"
"995","2005"
"996","2005"
"997","2005"
"998","2005"
"999","2005"
"1000","2005"
"1001","2004"
"1002","2004"
"1003","2004"
"1004","2004"
"1005","2004"
"1006","2004"
"1007","2004"
"1008","2004"
"1009","2004"
"1010","2004"
"1011","2004"
"1012","2004"
"1013","2004"
"1014","2004"
"1015","2005"
"1016","2005"
"1017","2005"
"1018","2005"
"1019","2005"
"1020","2005"
"1021","2004"
"1022","2004"
"1023","2004"
"1024","2004"
"1025","2004"
"1026","2004"
"1027","2004"
"1028","2004"
"1029","2004"
"1030","2004"
"1031","2004"
"1032","2004"
"1033","2004"
"1034","2004"
"1035","2004"
"1036","2004"
"1037","2004"
"1038","2004"
"1039","2004"
"1040","2004"
"1041","2004"
"1042","2004"
"1043","2004"
"1044","2004"
"1045","2004"
"1046","2004"
"1047","2004"
"1048","2004"
"1049","2004"
"1050","2004"
"1051","2004"
"1052","2004"
"1053","2004"
"1054","2004"
"1055","2004"
"1056","2004"
"1057","2004"
"1058","2004"
"1059","2004"
"1060","2004"
"1061","2004"
"1062","2004"
"1063","2004"
"1064","2004"
"1065","2004"
"1066","2004"
"1067","2004"
"1068","2004"
"1069","2004"
"1070","2004"
"1071","2004"
"1072","2004"
"1073","2004"
"1074","2004"
"1075","2004"
"1076","2004"
"1077","2004"
"1078","2004"
"1079","2004"
"1080","2004"
"1081","2004"
"1082","2004"
"1083","2004"
"1084","2004"
"1085","2004"
"1086","2004"
"1087","2004"
"1088","2004"
"1089","2004"
"1090","2004"
"1091","2004"
"1092","2004"
"1093","2004"
"1094","2004"
"1095","2004"
"1096","2004"
"1097","2004"
"1098","2004"
"1099","2004"
"1100","2004"
"1101","2004"
"1102","2004"
"1103","2004"
"1104","2004"
"1105","2004"
"1106","2004"
"1107","2004"
"1108","2004"
"1109","2004"
"1110","2004"
"1111","2004"
"1112","2004"
"1113","2004"
"1114","2004"
"1115","2004"
"1116","2004"
"1117","2004"
"1118","2004"
"1119","2004"
"1120","2004"
"1121","2004"
"1122","2004"
"1123","2004"
"1124","2004"
"1125","2004"
"1126","2004"
"1127","2004"
"1128","2004"
"1129","2004"
"1130","2004"
"1131","2004"
"1132","2005"
"1133","2005"
"1134","2005"
"1135","2004"
"1136","2004"
"1137","2004"
"1138","2004"
"1139","2004"
"1140","2004"
"1141","2004"
"1142","2004"
"1143","2004"
"1144","2004"
"1145","2004"
"1146","2004"
"1147","2004"
"1148","2004"
"1149","2004"
"1150","2004"
"1151","2004"
"1152","2004"
"1153","2004"
"1154","2004"
"1155","2004"
"1156","2004"
"1157","2004"
"1158","2005"
"1159","2004"
"1160","2005"
"1161","2004"
"1162","2004"
"1163","2005"
"1164","2005"
"1165","2004"
"1166","2004"
"1167","2005"
"1168","2004"
"1169","2004"
"1170","2004"
"1171","2004"
"1172","2004"
"1173","2004"
"1174","2004"
"1175","2004"
"1176","2004"
"1177","2004"
"1178","2004"
"1179","2004"
"1180","2004"
"1181","2005"
"1182","2005"
"1183","2005"
"1184","2004"
"1185","2004"
"1186","2005"
"1187","2005"
"1188","2005"
"1189","2005"
"1190","2005"
"1191","2004"
"1192","2005"
"1193","2004"
"1194","2004"
"1195","2005"
"1196","2005"
"1197","2005"
"1198","2004"
"1199","2004"
"1200","2005"
"1201","2004"
"1202","2004"
"1203","2004"
"1204","2004"
"1205","2004"
"1206","2004"
"1207","2004"
"1208","2004"
"1209","2004"
"1210","2004"
"1211","2004"
"1212","2005"
"1213","2004"
"1214","2005"
"1215","2005"
"1216","2004"
"1217","2004"
"1218","2004"
"1219","2004"
"1220","2004"
"1221","2004"
"1222","2004"
"1223","2005"
"1224","2004"
"1225","2004"
"1226","2004"
"1227","2005"
"1228","2005"
"1229","2005"
"1230","2005"
"1231","2004"
"1232","2004"
"1233","2004"
"1234","2005"
"1235","2004"
"1236","2004"
"1237","2004"
"1238","2004"
"1239","2005"
"1240","2005"
"1241","2004"
"1242","2004"
"1243","2004"
"1244","2005"
"1245","2004"
"1246","2004"
"1247","2004"
"1248","2005"
"1249","2005"
"1250","2004"
"1251","2004"
"1252","2005"
"1253","2005"
"1254","2004"
"1255","2004"
"1256","2004"
"1257","2005"
"1258","2005"
"1259","2004"
"1260","2005"
"1261","2005"
"1262","2004"
"1263","2004"
"1264","2004"
"1265","2004"
"1266","2004"
"1267","2004"
"1268","2004"
"1269","2005"
"1270","2005"
"1271","2004"
"1272","2005"
"1273","2005"
"1274","2004"
"1275","2005"
"1276","2004"
"1277","2005"
"1278","2005"
"1279","2005"
"1280","2005"
"1281","2005"
"1282","2004"
"1283","2004"
"1284","2004"
"1285","2004"
"1286","2004"
"1287","2005"
"1288","2004"
"1289","2004"
"1290","2004"
"1291","2005"
"1292","2005"
"1293","2005"
"1294","2004"
"1295","2005"
"1296","2004"
"1297","2005"
"1298","2005"
"1299","2005"
"1300","2005"
"1301","2004"
"1302","2004"
"1303","2004"
"1304","2005"
"1305","2005"
"1306","2004"
"1307","2004"
"1308","2004"
"1309","2004"
"1310","2004"
"1311","2004"
"1312","2005"
"1313","2004"
"1314","2005"
"1315","2004"
"1316","2004"
"1317","2005"
"1318","2005"
"1319","2005"
"1320","2005"
"1321","2004"
"1322","2005"
"1323","2005"
"1324","2004"
"1325","2004"
"1326","2005"
"1327","2005"
"1328","2005"
"1329","2004"
"1330","2004"
"1331","2005"
"1332","2005"
"1333","2004"
"1334","2005"
"1335","2005"
"1336","2004"
"1337","2004"
"1338","2004"
"1339","2005"
"1340","2005"
"1341","2005"
"1342","2005"
"1343","2005"
"1344","2005"
"1345","2005"
"1346","2005"
"1347","2005"
"1348","2004"
"1349","2004"
"1350","2005"
"1351","2004"
"1352","2004"
"1353","2004"
"1354","2004"
"1355","2004"
"1356","2005"
"1357","2004"
"1358","2005"
"1359","2004"
"1360","2004"
"1361","2005"
"1362","2004"
"1363","2004"
"1364","2004"
"1365","2005"
"1366","2005"
"1367","2005"
"1368","2005"
"1369","2004"
"1370","2004"
"1371","2004"
"1372","2004"
"1373","2005"
"1374","2005"
"1375","2004"
"1376","2004"
"1377","2004"
"1378","2004"
"1379","2004"
"1380","2004"
"1381","2004"
"1382","2004"
"1383","2004"
"1384","2004"
"1385","2004"
"1386","2005"
"1387","2005"
"1388","2004"
"1389","2004"
"1390","2004"
"1391","2004"
"1392","2004"
"1393","2004"
"1394","2005"
"1395","2005"
"1396","2004"
"1397","2004"
"1398","2005"
"1399","2004"
"1400","2004"
"1401","2005"
"1402","2004"
"1403","2004"
"1404","2004"
"1405","2004"
"1406","2004"
"1407","2004"
"1408","2004"
"1409","2004"
"1410","2004"
"1411","2004"
"1412","2004"
"1413","2004"
"1414","2004"
"1415","2004"
"1416","2004"
"1417","2004"
"1418","2004"
"1419","2004"
"1420","2004"
"1421","2004"
"1422","2004"
"1423","2004"
"1424","2004"
"1425","2004"
"1426","2004"
"1427","2004"
"1428","2004"
"1429","2004"
"1430","2004"
"1431","2004"
"1432","2004"
"1433","2004"
"1434","2004"
"1435","2004"
"1436","2004"
"1437","2004"
"1438","2004"
"1439","2004"
"1440","2004"
"1441","2005"
"1442","2005"
"1443","2005"
"1444","2005"
"1445","2005"
"1446","2005"
"1447","2005"
"1448","2005"
"1449","2005"
"1450","2005"
"1451","2005"
"1452","2005"
"1453","2005"
"1454","2005"
"1455","2005"
"1456","2005"
"1457","2005"
"1458","2005"
"1459","2005"
"1460","2005"
"1461","2005"
"1462","2005"
"1463","2005"
"1464","2005"
"1465","2005"
"1466","2005"
"1467","2005"
"1468","2005"
"1469","2005"
"1470","2005"
"1471","2005"
"1472","2005"
"1473","2005"
"1474","2005"
"1475","2005"
"1476","2005"
"1477","2005"
"1478","2005"
"1479","2005"
"1480","2005"
"1481","2005"
"1482","2005"
"1483","2005"
"1484","2005"
"1485","2005"
"1486","2005"
"1487","2005"
"1488","2005"
"1489","2005"
"1490","2005"
"1491","2005"
"1492","2005"
"1493","2005"
"1494","2005"
"1495","2005"
"1496","2005"
"1497","2005"
"1498","2005"
"1499","2005"
"1500","2005"
"1501","2005"
"1502","2005"
"1503","2005"
"1504","2005"
"1505","2005"
"1506","2005"
"1507","2005"
"1508","2005"
"1509","2005"
"1510","2005"
"1511","2005"
"1512","2005"
"1513","2005"
"1514","2005"
"1515","2005"
"1516","2005"
"1517","2005"
"1518","2005"
"1519","2005"
"1520","2005"
"1521","2005"
"1522","2005"
"1523","2005"
"1524","2005"
"1525","2005"
"1526","2005"
"1527","2005"
"1528","2005"
"1529","2005"
"1530","2005"
"1531","2005"
"1532","2005"
"1533","2005"
"1534","2005"
"1535","2005"
"1536","2005"
"1537","2005"
"1538","2005"
"1539","2005"
"1540","2005"
"1541","2005"
"1542","2005"
"1543","2005"
"1544","2005"
"1545","2005"
"1546","2005"
"1547","2005"
"1548","2005"
"1549","2006"
"1550","2005"
"1551","2005"
"1552","2005"
"1553","2005"
"1554","2005"
"1555","2005"
"1556","2005"
"1557","2005"
"1558","2005"
"1559","2005"
"1560","2005"
"1561","2005"
"1562","2006"
"1563","2006"
"1564","2006"
"1565","2006"
"1566","2006"
"1567","2006"
"1568","2006"
"1569","2006"
"1570","2006"
"1571","2006"
"1572","2006"
"1573","2006"
"1574","2006"
"1575","2006"
"1576","2006"
"1577","2006"
"1578","2006"
"1579","2006"
"1580","2005"
"1581","2006"
"1582","2006"
"1583","2005"
"1584","2005"
"1585","2005"
"1586","2005"
"1587","2005"
"1588","2005"
"1589","2005"
"1590","2005"
"1591","2005"
"1592","2005"
"1593","2005"
"1594","2005"
"1595","2005"
"1596","2005"
"1597","2005"
"1598","2005"
"1599","2005"
"1600","2005"
"1601","2005"
"1602","2005"
"1603","2005"
"1604","2005"
"1605","2005"
"1606","2005"
"1607","2005"
"1608","2005"
"1609","2005"
"1610","2005"
"1611","2005"
"1612","2005"
"1613","2005"
"1614","2005"
"1615","2005"
"1616","2005"
"1617","2005"
"1618","2005"
"1619","2005"
"1620","2005"
"1621","2005"
"1622","2005"
"1623","2005"
"1624","2005"
"1625","2005"
"1626","2005"
"1627","2005"
"1628","2005"
"1629","2005"
"1630","2005"
"1631","2005"
"1632","2005"
"1633","2005"
"1634","2005"
"1635","2005"
"1636","2005"
"1637","2005"
"1638","2005"
"1639","2005"
"1640","2005"
"1641","2005"
"1642","2005"
"1643","2005"
"1644","2005"
"1645","2005"
"1646","2005"
"1647","2005"
"1648","2005"
"1649","2005"
"1650","2006"
"1651","2005"
"1652","2005"
"1653","2005"
"1654","2005"
"1655","2005"
"1656","2005"
"1657","2005"
"1658","2005"
"1659","2005"
"1660","2005"
"1661","2005"
"1662","2005"
"1663","2005"
"1664","2005"
"1665","2005"
"1666","2005"
"1667","2005"
"1668","2005"
"1669","2005"
"1670","2005"
"1671","2005"
"1672","2005"
"1673","2005"
"1674","2005"
"1675","2005"
"1676","2005"
"1677","2005"
"1678","2005"
"1679","2005"
"1680","2005"
"1681","2005"
"1682","2005"
"1683","2005"
"1684","2005"
"1685","2005"
"1686","2005"
"1687","2005"
"1688","2005"
"1689","2005"
"1690","2005"
"1691","2005"
"1692","2005"
"1693","2005"
"1694","2005"
"1695","2005"
"1696","2005"
"1697","2005"
"1698","2005"
"1699","2005"
"1700","2005"
"1701","2005"
"1702","2005"
"1703","2005"
"1704","2005"
"1705","2005"
"1706","2005"
"1707","2005"
"1708","2006"
"1709","2005"
"1710","2005"
"1711","2005"
"1712","2005"
"1713","2005"
"1714","2005"
"1715","2005"
"1716","2005"
"1717","2005"
"1718","2005"
"1719","2005"
"1720","2005"
"1721","2005"
"1722","2005"
"1723","2005"
"1724","2005"
"1725","2005"
"1726","2005"
"1727","2005"
"1728","2005"
"1729","2005"
"1730","2005"
"1731","2005"
"1732","2005"
"1733","2005"
"1734","2005"
"1735","2005"
"1736","2005"
"1737","2005"
"1738","2005"
"1739","2005"
"1740","2005"
"1741","2005"
"1742","2005"
"1743","2005"
"1744","2005"
"1745","2005"
"1746","2005"
"1747","2005"
"1748","2005"
"1749","2005"
"1750","2005"
"1751","2005"
"1752","2006"
"1753","2006"
"1754","2005"
"1755","2005"
"1756","2005"
"1757","2005"
"1758","2005"
"1759","2005"
"1760","2005"
"1761","2005"
"1762","2005"
"1763","2005"
"1764","2005"
"1765","2005"
"1766","2005"
"1767","2005"
"1768","2005"
"1769","2005"
"1770","2005"
"1771","2005"
"1772","2005"
"1773","2005"
"1774","2005"
"1775","2005"
"1776","2005"
"1777","2005"
"1778","2006"
"1779","2005"
"1780","2005"
"1781","2005"
"1782","2005"
"1783","2006"
"1784","2005"
"1785","2005"
"1786","2005"
"1787","2005"
"1788","2005"
"1789","2005"
"1790","2005"
"1791","2005"
"1792","2005"
"1793","2005"
"1794","2005"
"1795","2006"
"1796","2006"
"1797","2006"
"1798","2005"
"1799","2005"
"1800","2005"
"1801","2005"
"1802","2005"
"1803","2005"
"1804","2005"
"1805","2005"
"1806","2005"
"1807","2005"
"1808","2005"
"1809","2005"
"1810","2005"
"1811","2005"
"1812","2005"
"1813","2005"
"1814","2005"
"1815","2006"
"1816","2006"
"1817","2006"
"1818","2006"
"1819","2006"
"1820","2006"
"1821","2006"
"1822","2006"
"1823","2006"
"1824","2006"
"1825","2006"
"1826","2006"
"1827","2006"
"1828","2006"
"1829","2006"
"1830","2006"
"1831","2006"
"1832","2006"
"1833","2006"
"1834","2006"
"1835","2006"
"1836","2006"
"1837","2006"
"1838","2006"
"1839","2006"
"1840","2006"
"1841","2006"
"1842","2006"
"1843","2006"
"1844","2006"
"1845","2006"
"1846","2006"
"1847","2006"
"1848","2006"
"1849","2006"
"1850","2006"
"1851","2006"
"1852","2006"
"1853","2006"
"1854","2006"
"1855","2006"
"1856","2006"
"1857","2006"
"1858","2006"
"1859","2006"
"1860","2006"
"1861","2006"
"1862","2006"
"1863","2006"
"1864","2006"
"1865","2006"
"1866","2006"
"1867","2006"
"1868","2006"
"1869","2006"
"1870","2006"
"1871","2006"
"1872","2006"
"1873","2006"
